Song, Year, Artist
Hound Dog, 1953, Elvis Presley
Jailhouse Rock, 1957, Elvis Presley
All My Loving, 1963, The Beatles
Blowin' in the Wind, 1963, Bob Dylan
The Sound of Silence, 1964, Simon & Garfunkel
In My Life, 1965, The Beatles
Like a Rolling Stone, 1965, Bob Dylan
Yesterday, 1965, The Beatles
A Day in the Life, 1967, The Beatles
Hey Jude, 1968, The Beatles
Suspicious Minds, 1968, Elvis Presley
Space Oddity, 1969, David Bowie
Your Song, 1970, Elton John
Imagine, 1971, John Lennon
Stairway to Heaven, 1971, Led Zeppelin
Knockin' on Heaven's Door, 1973, Bob Dylan
Bohemian Rhapsody, 1975, Queen
No Woman No Cry, 1975, Bob Marley and the Wailers
Dancing Queen, 1976, ABBA
Hotel California, 1977, Eagles
Comfortably Numb, 1979, Pink Floyd
Billie Jean, 1983, Michael Jackson
Purple Rain, 1984, Prince
When Doves Cry, 1984, Prince
One, 1991, U2
Smells Like Teen Spirit, 1991, Nirvana
I Will Always Love You, 1992, Whitney Houston
Stan, 2000, Eminem
Lose Yourself, 2002, Eminem
